Accession	Name	Short Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms	Protein Accession	Protein Length	Matches
cd00051	EFh	EFh	cdd	domain	IPR002048			a0a1r2aqi5	484	421..480
G3DSA:1.10.238.10	EF-hand		cathgene3d	homologous_superfamily				a0a1r2aqi5	484	323..328,344..411,329..343,412..480
G3DSA:1.10.510.10	Transferase(Phosphotransferase) domain 1		cathgene3d	homologous_superfamily				a0a1r2aqi5	484	131..322
G3DSA:3.30.200.20	Phosphorylase Kinase; domain 1		cathgene3d	homologous_superfamily				a0a1r2aqi5	484	37..130
IPR000719	Protein kinase domain	Prot_kinase_dom	interpro	domain		PS50011,PF00069,SM00220	GO:0005524,GO:0006468	a0a1r2aqi5	484	45..301
IPR002048	EF-hand domain	EF_hand_dom	interpro	domain		PS50222,cd00051,PF13202,PF13499,PF13833,PF13405,PF00036,SM00054	GO:0005509	a0a1r2aqi5	484	351..416,417..484
IPR011009	Protein kinase-like domain superfamily	Kinase-like_dom_sf	interpro	homologous_superfamily		SSF56112		a0a1r2aqi5	484	41..309
IPR011992	EF-hand domain pair	EF-hand-dom_pair	interpro	homologous_superfamily		SSF47473		a0a1r2aqi5	484	348..481
IPR018247	EF-Hand 1, calcium-binding site	EF_Hand_1_Ca_BS	interpro	binding_site		PS00018		a0a1r2aqi5	484	394..406,464..476
IPR050205	Calcium-dependent Serine/Threonine Protein Kinases	CDPK_Ser/Thr_kinases	interpro	family		PTHR24349		a0a1r2aqi5	484	35..468
PF00069	Protein kinase domain	Pkinase	pfam	domain	IPR000719			a0a1r2aqi5	484	47..301
PF13499	EF-hand domain pair	EF-hand_7	pfam	domain	IPR002048			a0a1r2aqi5	484	351..409,420..480
PS00018	EF-hand calcium-binding domain	EF_HAND_1	prosite	conserved_site	IPR018247			a0a1r2aqi5	484	394..406,464..476
PS50011	Protein kinase domain profile	PROTEIN_KINASE_DOM	profile	domain	IPR000719			a0a1r2aqi5	484	45..301
PS50222	EF-hand calcium-binding domain profile	EF_HAND_2	profile	domain	IPR002048			a0a1r2aqi5	484	381..416,417..446,451..484
PTHR24349	Calcium-dependent Serine/Threonine Protein Kinases	CDPK_Ser/Thr_kinases	panther	family	IPR050205			a0a1r2aqi5	484	35..468
SM00054	EF-hand, calcium binding motif	EFh	smart	domain	IPR002048			a0a1r2aqi5	484	351..379,385..413,421..449,455..483
SSF47473	EF-hand		ssf	homologous_superfamily	IPR011992			a0a1r2aqi5	484	348..481
SSF56112	Protein kinase-like (PK-like)		ssf	homologous_superfamily	IPR011009			a0a1r2aqi5	484	41..309
